V1,RMS,P to P
4.84,1.95,14
4.87,2.4,14.4
4.92,2.6,18.9
4.93,2.51,9.6
4.931,4.65,28
4.94,6.2,60
4.954,0.98,7.2
4.96,2.25,19.6
4.96,2.15,27
4.96,8.43,34.61
4.96,2.15,27
4.963,3.16,19.8
4.97,3.04,20.8
4.97,4.26,14.8
4.97,2.03,25.6
4.97,3.06,21.2
4.975,2.5,15
4.975,4.85,20.5
4.975,4.45,22
4.976,6.02,33.6
4.98,13.6,68.8
4.98,3.02,20.2
4.992,2.97,12.8
4.996,2.35,15.2
4.998,2.2,12.3
5,3.2,18.4
5,2.7,17
5,2.04,12
5,3.45,20.1
5,7.25,31
5.001,4.72,26
5.001,2.91,17
5.003,2.68,18.6
5.003,2.94,16
5.007,4.89,32
5.01,2.87,27.6
5.01,3.1,14.6
5.01,3.06,15
5.016,6.72,8.4
5.02,3.58,17.7
5.02,2.57,19.8
5.023,2.53,15
5.026,1.26,7.2
5.026,2.43,49.4
5.028,1.51,10.6
5.028,7.02,32
5.03,6.12,35.2
5.03,2.51,17
5.03,2.4,21.4
5.03,6,29.2
5.03,2.02,19.6
5.03,3.31,23.6
5.031,3.5,36.4
5.032,1.67,11.3
5.035,3.5,35.2
5.035,2.93,20.8
5.035,2.52,14.5
5.039,5.33,27.2
5.04,2.2,13.4
5.04,2.71,19.2
5.04,5.05,400
5.04,2.54,14
5.041,2.75,13
5.041,1.7,11.5
5.042,1.66,8.48
5.043,1.81,8.88
5.045,1.93,12.8
5,2.17,14
5.046,3.73,21.2
5.046,2.36,41
5.047,0.81,4.8
5.048,3.57,17.8
5.049,2.57,
5.05,2,16
5.051,8.54,40
5.054,1.7,10
5.054,1.8,11.8
5.054,3.57,17.6
5.054,1.6,9.7
5.056,1.78,56.8
5.056,1.04,6.8
5.057,2.47,6.4
5.057,1.83,14
5.057,8.05,45
5.058,1.15,6.2
5.059,1.85,12.5
5.06,3.3,19.3
5.06,7.07,32.8
5.06,3.48,22
5.06,5.82,30.3
5.06,2.56,16
5.062,2.78,18.8
5.064,2.16,16
5.065,2.6,18
5.065,3.06,17.2
5.065,7.28,38.4
5.067,8.87,47.4
5.068,2.6,15.2
5.068,7.43,38.4
5.07,3.6,20.2
5.07,2.65,16
5.072,8.43,43
5.074,7.24,44.8
5.075,2.44,16.5
5.08,1.51,11.7
5.08,2.92,17.2
5.08,4.36,38.4
5.08,3.4,16.2
5.087,2.78,18.1
5.088,1.38,9.2
5.09,2.84,32.6
5.09,1.88,16.8
5.09,8.66,39.29
5.092,0.852,8.88
5.092,0.852,8.88
5.098,2.82,17.3
5.098,2.2,14.4
5.099,5.57,43.2
5.1,2.52,15.8
5.1,2.15,14.4
5.101,3.35,20.3
5.102,2.58,21.2
5.103,3.67,26.2
5.105,2.13,20.3
5.105,2.25,14.3
5.105,2.52,13.7
5.105,2.13,20.3
5.108,2.52,15.6
5.109,2.18,23.8
5.11,3.8,8.17
5.11,3.86,16.4
5.11,1.55,13.4
5.11,1.02,8
5.11,3.57,18.6
5.111,1.4,10
5.114,2.47,22
5.115,1.64,11.8
5.115,2.91,16.2
5.115,2.55,16.6
5.117,1.8,10.8
5.12,1.53,12.4
5.12,2.45,15.3
5.12,2.69,42
5.12,100,1.97
5.12,1.82,17.2
5.12,2.35,15.2
5.122,1.88,12.4
5.124,2.67,16.1
5.15,3.3,18
5.176,3.27,27.2
5.183,2.42,26.4
5.19,5.21,100
5.2,5.2,200
5.222,2.75,25.6