3V3,RMS,P to P
3.26,2.62,31
3.276,1.41,9.09
3.279,1.76,7.04
3.28,1.88,13.6
3.282,1.57,22.8
3.286,1.6,10.8
3.286,7.7,43.5
3.287,0.802,8.8
3.29,2.45,14.4
3.29,0.879,6.34
3.291,2.69,12.4
3.291,1.65,8.8
3.291,0.602,3.68
3.293,2.24,12.8
3.294,1.79,8.64
3.294,1.84,26
3.294,0.44,2.8
3.294,2.2,33
3.295,1.46,9.8
3.295,3,10.5
3.295,0.768,6.7
3.296,2.03,18
3.296,1.32,12.5
3.296,1.66,15.4
3.296,1.42,26.4
3.296,1.78,13.6
3.297,1.7,12.5
3.298,1.31,12.1
3.299,2.3,14.1
3.299,1.44,9
3.3,1.12,16
3.3,1.8,13
3.3,2.33,15.2
3.3,4.71,21.1
3.3,3.42,12.7
3.303,2.85,33
3.304,2.06,13.6
3.305,3.8,25.6
3.305,1.43,13
3.305,1.41,12.6
3.306,2.32,3.12
3.306,2.15,16.8
3.307,2.06,13.6
3.307,3.64,16.6
3.307,1.68,9.8
3.308,1.71,12
3.31,3.79,17.5
3.312,2.26,18
3.312,1.61,12
3.315,1.52,13.2
3.32,10.9,1.36
3.32,1.75,11.1
3.324,2.32,24.2
3.325,1.59,13.5
3.325,1.85,30.8
3.36,3.36,200
3.365,1.89,14.8